"";"Lineage_Name";"species";"biomes";"n_interactions";"n_local_partners";"n_local_species";"ND_Host_Parasite";"Host_Status"
"62";"BAFLA04";"Coryphospingus_pileatus";"Caatinga";2;13;8;0,153846153846154;"R"
"63";"BAFLA04";"Dacnis_cayana";"Mata_Atlantica";1;12;7;0,0833333333333333;"R"
"64";"BAFLA04";"Dacnis_cayana";"Mata_Atlantica";1;13;8;0,0769230769230769;"R"
"65";"BAFLA04";"Elaenia_cristata";"Mata_Atlantica";1;12;7;0,0833333333333333;"R"
"66";"BAFLA04";"Elaenia_cristata";"Mata_Atlantica";1;13;8;0,0769230769230769;"R"
"67";"BAFLA04";"Hemitriccus_margaritaceiventer";"Mata_Atlantica";1;12;7;0,0833333333333333;"R"
"68";"BAFLA04";"Hemitriccus_margaritaceiventer";"Mata_Atlantica";1;13;8;0,0769230769230769;"R"
"69";"BAFLA04";"Lanio_pileatus";"Caatinga";1;12;7;0,0833333333333333;"R"
"70";"BAFLA04";"Lanio_pileatus";"Caatinga";1;13;8;0,0769230769230769;"R"
"71";"BAFLA04";"Lanio_pileatus";"Cerrado";4;12;7;0,333333333333333;"R"
"72";"BAFLA04";"Lanio_pileatus";"Cerrado";4;13;8;0,307692307692308;"R"
"73";"BAFLA04";"Paroaria_dominicana";"Cerrado";1;12;7;0,0833333333333333;"R"
"74";"BAFLA04";"Paroaria_dominicana";"Cerrado";1;13;8;0,0769230769230769;"R"
"75";"BAFLA04";"Tachyphonus_rufus";"Caatinga";2;12;7;0,166666666666667;"R"
"76";"BAFLA04";"Tachyphonus_rufus";"Caatinga";2;13;8;0,153846153846154;"R"
"77";"BAFLA04";"Tachyphonus_rufus";"Mata_Atlantica";2;12;7;0,166666666666667;"R"
"78";"BAFLA04";"Tachyphonus_rufus";"Mata_Atlantica";2;13;8;0,153846153846154;"R"
"79";"BAFLA04";"Tangara_cayana";"Caatinga";1;12;7;0,0833333333333333;"R"
"80";"BAFLA04";"Tangara_cayana";"Caatinga";1;13;8;0,0769230769230769;"R"
"81";"BAFLA04";"Thamnophilus_pelzelni";"Caatinga";1;12;7;0,0833333333333333;"R"
"82";"BAFLA04";"Thamnophilus_pelzelni";"Caatinga";1;13;8;0,0769230769230769;"R"
"83";"BAFLA04";"Tiaris_fuliginosus";"Cerrado";1;12;7;0,0833333333333333;"R"
"84";"BAFLA04";"Tiaris_fuliginosus";"Cerrado";1;13;8;0,0769230769230769;"R"
"85";"BAFLA04";"Trogon_curucui";"Mata_Atlantica";2;12;7;0,166666666666667;"R"
"86";"BAFLA04";"Trogon_curucui";"Mata_Atlantica";2;13;8;0,153846153846154;"R"
"87";"BAFLA04";"Turdus_leucomelas";"Mata_Atlantica";2;12;7;0,166666666666667;"R"
"88";"BAFLA04";"Turdus_leucomelas";"Mata_Atlantica";2;13;8;0,153846153846154;"R"
"89";"COLIN05";"Conopophaga_lineata";"Mata_Atlantica";8;14;5;0,571428571428571;"R"
"90";"COLIN05";"Leptopogon_amaurocephalus";"Mata_Atlantica";2;14;5;0,142857142857143;"R"
"91";"COLIN05";"Philydor_rufum";"Mata_Atlantica";2;14;5;0,142857142857143;"R"
"92";"COLIN05";"Polioptila_plumbea";"Cerrado";3;14;5;0,214285714285714;"R"
"93";"COLIN05";"Thraupis_sayaca";"Mata_Atlantica";1;14;5;0,0714285714285714;"R"
"94";"COLIN05";"Tolmomyias_flaviventris";"Cerrado";1;14;5;0,0714285714285714;"R"
"95";"COLIN05";"Trichothraupis_melanops";"Mata_Atlantica";1;14;5;0,0714285714285714;"R"
"96";"COLPAS03";"Columbina_minuta";"Mata_Atlantica";1;12;2;0,0833333333333333;"R"
"97";"COLPAS03";"Columbina_passerina";"Amazonia";11;12;2;0,916666666666667;"R"
"98";"COLPAS03";"Columbina_passerina";"Mata_Atlantica";1;12;2;0,0833333333333333;"R"
"99";"COLPAS03";"Columbina_talpacoti";"Mata_Atlantica";6;12;2;0,5;"R"
"100";"COLPAS03";"Lepidocolaptes_angustirostris";"Cerrado";1;12;2;0,0833333333333333;"R"
"101";"COLPAS03";"Thamnophilus_doliatus";"Amazonia";1;12;2;0,0833333333333333;"R"
"102";"COPIC01";"Columbina_minuta";"Caatinga";15;16;2;0,9375;"R"
"103";"COPIC01";"Columbina_picui";"Caatinga";1;16;2;0,0625;"R"
"104";"COPIC01";"Columbina_picui";"Cerrado";2;16;2;0,125;"R"
"105";"COPIC01";"Lanio_pileatus";"Cerrado";1;16;2;0,0625;"R"
"106";"CORPIL01";"Conopophaga_melanops";"Mata_Atlantica";1;17;4;0,0588235294117647;"R"
"107";"CORPIL01";"Coryphospingus_pileatus";"Caatinga";11;17;4;0,647058823529412;"R"
"108";"CORPIL01";"Lanio_pileatus";"Caatinga";4;17;4;0,235294117647059;"R"
"109";"CORPIL01";"Veniliornis_affinis";"Caatinga";1;17;4;0,0588235294117647;"R"
"110";"CORPIL01";"Veniliornis_passerinus";"Caatinga";1;17;4;0,0588235294117647;"R"
"111";"CYCYA01";"Geotrygon_montana";"Amazonia";1;21;12;0,0476190476190476;"R"
"112";"CYCYA01";"Hylexetastes_perrotii";"Amazonia";1;21;12;0,0476190476190476;"R"
"113";"CYCYA01";"Hypocnemis_striata";"Amazonia";2;21;12;0,0952380952380952;"R"
"114";"CYCYA01";"Lepidothrix_coronata";"Amazonia";3;21;12;0,142857142857143;"R"
"115";"CYCYA01";"Microbates_collaris";"Amazonia";1;21;12;0,0476190476190476;"R"
"116";"CYCYA01";"Myrmoborus_myotherinus";"Amazonia";1;21;12;0,0476190476190476;"R"
"117";"CYCYA01";"Myrmornis_torquata";"Amazonia";1;21;12;0,0476190476190476;"R"
"118";"CYCYA01";"Pipra_pipra";"Amazonia";4;21;12;0,19047619047619;"R"
"119";"CYCYA01";"Pithys_albifrons";"Amazonia";3;21;12;0,142857142857143;"R"
"120";"CYCYA01";"Polioptila_plumbea";"Caatinga";1;21;12;0,0476190476190476;"R"
"121";"CYCYA01";"Sclerurus_caudacutus";"Amazonia";1;21;12;0,0476190476190476;"R"
"122";"CYCYA01";"Thamnomanes_caesius";"Amazonia";2;21;12;0,0952380952380952;"R"
"123";"CYCYA01";"Thamnomanes_saturninus";"Amazonia";1;21;12;0,0476190476190476;"R"
"124";"CYPHIR03";"Cypsnagra_hirundinacea";"Cerrado";11;11;1;1;"R"
"125";"DENCER02";"Bucco_tamatia";"Amazonia";1;11;7;0,0909090909090909;"R"
"126";"DENCER02";"Camptostoma_obsoletum";"Caatinga";1;11;7;0,0909090909090909;"R"
"127";"DENCER02";"Dendrocolaptes_certhia";"Amazonia";1;11;7;0,0909090909090909;"R"
"128";"DENCER02";"Galbula_cyanicollis";"Amazonia";2;11;7;0,181818181818182;"R"
"129";"DENCER02";"Hypocnemis_striata";"Amazonia";1;11;7;0,0909090909090909;"R"
"130";"DENCER02";"Malacoptila_rufa";"Amazonia";3;11;7;0,272727272727273;"R"
"131";"DENCER02";"Pyriglena_leuconota";"Amazonia";2;11;7;0,181818181818182;"R"
"132";"DENCER02";"Saltator_coerulescens";"Amazonia";1;11;7;0,0909090909090909;"R"
"133";"DENPET03";"Ammodramus_humeralis";"Caatinga";1;20;11;0,05;"R"
"134";"DENPET03";"Ammodramus_humeralis";"Caatinga";1;36;19;0,0277777777777778;"R"
"135";"DENPET03";"Ammodramus_humeralis";"Caatinga";1;23;15;0,0434782608695652;"R"
"136";"DENPET03";"Ammodramus_humeralis";"Cerrado";1;20;11;0,05;"R"
"137";"DENPET03";"Ammodramus_humeralis";"Cerrado";1;36;19;0,0277777777777778;"R"
"138";"DENPET03";"Ammodramus_humeralis";"Cerrado";1;23;15;0,0434782608695652;"R"
"139";"DENPET03";"Arremon_taciturnus";"Amazonia";2;20;11;0,1;"R"
"140";"DENPET03";"Arremon_taciturnus";"Amazonia";2;36;19;0,0555555555555556;"R"
"141";"DENPET03";"Arremon_taciturnus";"Amazonia";2;23;15;0,0869565217391304;"R"
"142";"DENPET03";"Arremon_taciturnus";"Mata_Atlantica";1;20;11;0,05;"R"
"143";"DENPET03";"Arremon_taciturnus";"Mata_Atlantica";1;36;19;0,0277777777777778;"R"
"144";"DENPET03";"Arremon_taciturnus";"Mata_Atlantica";1;23;15;0,0434782608695652;"R"
"145";"DENPET03";"Automolus_rufipileatus";"Amazonia";1;20;11;0,05;"R"
"146";"DENPET03";"Automolus_rufipileatus";"Amazonia";1;36;19;0,0277777777777778;"R"
"147";"DENPET03";"Automolus_rufipileatus";"Amazonia";1;23;15;0,0434782608695652;"R"
"148";"DENPET03";"Basileuterus_flaveolus";"Caatinga";1;20;11;0,05;"R"
"149";"DENPET03";"Basileuterus_flaveolus";"Caatinga";1;36;19;0,0277777777777778;"R"
"150";"DENPET03";"Basileuterus_flaveolus";"Caatinga";1;23;15;0,0434782608695652;"R"
"151";"DENPET03";"Basileuterus_flaveolus";"Cerrado";4;20;11;0,2;"R"
"152";"DENPET03";"Basileuterus_flaveolus";"Cerrado";4;36;19;0,111111111111111;"R"
"153";"DENPET03";"Basileuterus_flaveolus";"Cerrado";4;23;15;0,173913043478261;"R"
"154";"DENPET03";"Basileuterus_leucoblepharus";"Grassland";1;20;11;0,05;"R"
"155";"DENPET03";"Basileuterus_leucoblepharus";"Grassland";1;36;19;0,0277777777777778;"R"
"156";"DENPET03";"Basileuterus_leucoblepharus";"Grassland";1;23;15;0,0434782608695652;"R"
"157";"DENPET03";"Cacicus_solitarius";"Mata_Atlantica";1;20;11;0,05;"R"
"158";"DENPET03";"Cacicus_solitarius";"Mata_Atlantica";1;36;19;0,0277777777777778;"R"
"159";"DENPET03";"Cacicus_solitarius";"Mata_Atlantica";1;23;15;0,0434782608695652;"R"
"160";"DENPET03";"Cantorchilus_longirostris";"Cerrado";1;20;11;0,05;"R"
"161";"DENPET03";"Cantorchilus_longirostris";"Cerrado";1;36;19;0,0277777777777778;"R"
"162";"DENPET03";"Cantorchilus_longirostris";"Cerrado";1;23;15;0,0434782608695652;"R"
"163";"DENPET03";"Coereba_flaveola";"Cerrado";4;20;11;0,2;"R"
"164";"DENPET03";"Coereba_flaveola";"Cerrado";4;36;19;0,111111111111111;"R"
"165";"DENPET03";"Coereba_flaveola";"Cerrado";4;23;15;0,173913043478261;"R"
"166";"DENPET03";"Coryphistera_alaudina";"Grassland";1;20;11;0,05;"R"
"167";"DENPET03";"Coryphistera_alaudina";"Grassland";1;36;19;0,0277777777777778;"R"
"168";"DENPET03";"Coryphistera_alaudina";"Grassland";1;23;15;0,0434782608695652;"R"
"169";"DENPET03";"Cyclarhis_gujanensis";"Caatinga";1;20;11;0,05;"R"
"170";"DENPET03";"Cyclarhis_gujanensis";"Caatinga";1;36;19;0,0277777777777778;"R"
"171";"DENPET03";"Cyclarhis_gujanensis";"Caatinga";1;23;15;0,0434782608695652;"R"
"172";"DENPET03";"Cyclarhis_gujanensis";"Mata_Atlantica";1;20;11;0,05;"R"
"173";"DENPET03";"Cyclarhis_gujanensis";"Mata_Atlantica";1;36;19;0,0277777777777778;"R"
"174";"DENPET03";"Cyclarhis_gujanensis";"Mata_Atlantica";1;23;15;0,0434782608695652;"R"
"175";"DENPET03";"Cyphorhinus_arada";"Amazonia";2;20;11;0,1;"R"
"176";"DENPET03";"Cyphorhinus_arada";"Amazonia";2;36;19;0,0555555555555556;"R"
"177";"DENPET03";"Cyphorhinus_arada";"Amazonia";2;23;15;0,0869565217391304;"R"
"178";"DENPET03";"Cypsnagra_hirundinacea";"Cerrado";5;20;11;0,25;"R"
"179";"DENPET03";"Cypsnagra_hirundinacea";"Cerrado";5;36;19;0,138888888888889;"R"
"180";"DENPET03";"Cypsnagra_hirundinacea";"Cerrado";5;23;15;0,217391304347826;"R"
"181";"DENPET03";"Elaenia_albiceps";"Mata_Atlantica";3;20;11;0,15;"R"
"182";"DENPET03";"Elaenia_albiceps";"Mata_Atlantica";3;36;19;0,0833333333333333;"R"
"183";"DENPET03";"Elaenia_albiceps";"Mata_Atlantica";3;23;15;0,130434782608696;"R"
"184";"DENPET03";"Elaenia_cristata";"Mata_Atlantica";2;20;11;0,1;"R"
"185";"DENPET03";"Elaenia_cristata";"Mata_Atlantica";2;36;19;0,0555555555555556;"R"
"186";"DENPET03";"Elaenia_cristata";"Mata_Atlantica";2;23;15;0,0869565217391304;"R"
"187";"DENPET03";"Formicivora_melanogaster";"Cerrado";1;20;11;0,05;"R"
"188";"DENPET03";"Formicivora_melanogaster";"Cerrado";1;36;19;0,0277777777777778;"R"
"189";"DENPET03";"Formicivora_melanogaster";"Cerrado";1;23;15;0,0434782608695652;"R"
"190";"DENPET03";"Gubernatrix_cristata";"Grassland";1;20;11;0,05;"R"
"191";"DENPET03";"Gubernatrix_cristata";"Grassland";1;36;19;0,0277777777777778;"R"
"192";"DENPET03";"Gubernatrix_cristata";"Grassland";1;23;15;0,0434782608695652;"R"
"193";"DENPET03";"Hemithraupis_guira";"Cerrado";1;20;11;0,05;"R"
"194";"DENPET03";"Hemithraupis_guira";"Cerrado";1;36;19;0,0277777777777778;"R"
"195";"DENPET03";"Hemithraupis_guira";"Cerrado";1;23;15;0,0434782608695652;"R"
"196";"DENPET03";"Hypocnemis_subflava";"Amazonia";1;20;11;0,05;"R"
"197";"DENPET03";"Hypocnemis_subflava";"Amazonia";1;36;19;0,0277777777777778;"R"
