"";"species";"normalised.degree";"PDI";"species.specificity.index";"effective.partners";"biomes";"Host_Status"
"221";"Pipra_rubrocapilla";0,176470588235294;0,203174603174603;0,609059492892183;2,68796811146923;"Amazonia";"R"
"222";"Pipra_rubrocapilla";0,0476190476190476;0,0666666666666667;1;1;"Cerrado";"R"
"223";"Pipreola_riefferii";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"224";"Pitangus_sulphuratus";0,166666666666667;0,19651833460657;0,722886584804257;1,87654195744102;"Caatinga";"PM"
"225";"Pitangus_sulphuratus";0,0952380952380952;0,201280239368475;0,754238353465815;1,82369812120333;"Cerrado";"PM"
"226";"Pitangus_sulphuratus";0,0588235294117647;0,0126582278481013;1;1;"Mata_Atlantica";"PM"
"227";"Pithys_albifrons";0,117647058823529;0,138690476190476;0,734164786600595;1,86916416381951;"Amazonia";"R"
"228";"Pithys_albifrons";0,0714285714285714;0,0666666666666667;1;1;"Andinean_Forest";"R"
"229";"Platyrinchus_mystaceus";0,0714285714285714;0,0769230769230769;1;1;"Andinean_Forest";"R"
"230";"Polioptila_plumbea";0,0833333333333333;0,0476190476190476;1;1;"Caatinga";"R"
"231";"Polioptila_plumbea";0,0952380952380952;0,209375;0,73988416081747;1,86355680168716;"Cerrado";"R"
"232";"Psarocolius_angustifrons";0,0714285714285714;0,0769230769230769;1;1;"Andinean_Forest";"R"
"233";"Psarocolius_decumanus";0,0714285714285714;0,0769230769230769;1;1;"Andinean_Forest";"R"
"234";"Pyriglena_leuconota";0,0588235294117647;0,181818181818182;1;1;"Amazonia";"R"
"235";"Pyriglena_leucoptera";0,0476190476190476;0,363636363636364;1;1;"Cerrado";"R"
"236";"Pyriglena_leucoptera";0,0588235294117647;0,272727272727273;1;1;"Mata_Atlantica";"R"
"237";"Ramphastos_dicolorus";0,0588235294117647;0,121256038647343;1;1;"Mata_Atlantica";"R"
"238";"Ramphastos_vitellinus";0,0588235294117647;0,121256038647343;1;1;"Amazonia";"R"
"239";"Ramphocelus_carbo";0,0588235294117647;0,606280193236715;1;1;"Amazonia";"R"
"240";"Ramphotrigon_ruficauda";0,0588235294117647;0,205446906035141;1;1;"Amazonia";"R"
"241";"Rhegmatorhina_berlepschi";0,0588235294117647;0,0714285714285714;1;1;"Amazonia";"R"
"242";"Rhegmatorhina_gymnops";0,0588235294117647;0,0384615384615385;1;1;"Amazonia";"R"
"243";"Rhegmatorhina_hoffmannsi";0,0588235294117647;0,0384615384615385;1;1;"Amazonia";"R"
"244";"Rhynchocyclus_olivaceus";0,0588235294117647;0,0769230769230769;1;1;"Amazonia";"R"
"245";"Rhytipterna_simplex";0,0588235294117647;0,205446906035141;1;1;"Amazonia";"R"
"246";"Rynchops_niger";0,117647058823529;0,116791752933057;0,710123713911462;1,93349306080389;"Amazonia";"M"
"247";"Sakesphorus_cristatus";0,0952380952380952;0,0894805194805195;0,786073249207154;1,73338392431772;"Cerrado";"R"
"248";"Saltator_coerulescens";0,0588235294117647;0,0909090909090909;1;1;"Amazonia";"R"
"249";"Saltator_similis";0,0588235294117647;0,196428571428571;1;1;"Mata_Atlantica";"R"
"250";"Sayornis_nigricans";0,0714285714285714;0,0714285714285714;1;1;"Andinean_Forest";"R"
"251";"Schiffornis_virescens";0,0588235294117647;0,0982142857142857;1;1;"Mata_Atlantica";"R"
"252";"Schistochlamys_ruficapillus";0,0588235294117647;0,0126582278481013;1;1;"Mata_Atlantica";"R"
"253";"Schistocichla_humaythae";0,0588235294117647;0,0714285714285714;1;1;"Amazonia";"R"
"254";"Schoeniophylax_phryganophilus";0,0476190476190476;0,121256038647343;1;1;"Cerrado";"R"
"255";"Sclerurus_caudacutus";0,0588235294117647;0,0476190476190476;1;1;"Amazonia";"R"
"256";"Sittasomus_griseicapillus";0,0476190476190476;0,0982142857142857;1;1;"Cerrado";"R"
"257";"Sporophila_plumbea";0,0476190476190476;0,0303030303030303;1;1;"Cerrado";"R"
"258";"Stephanophorus_diadematus";0,0588235294117647;0,205446906035141;1;1;"Mata_Atlantica";"R"
"259";"Suiriri_islerorum";0,0476190476190476;0,410893812070283;1;1;"Cerrado";"R"
"260";"Synallaxis_azarae";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"261";"Synallaxis_frontalis";0,0833333333333333;0,121256038647343;1;1;"Caatinga";"R"
"262";"Synallaxis_frontalis";0,0476190476190476;0,545454545454545;1;1;"Cerrado";"R"
"263";"Synallaxis_scutata";0,0952380952380952;0,262454927425516;0,696701906455358;1,98023523381331;"Cerrado";"R"
"264";"Tachuris_rubrigastra";0,0714285714285714;0,0555555555555556;1;1;"Andinean_Forest";"R"
"265";"Tachyphonus_coronatus";0,117647058823529;0,398617026355997;0,7314357232441;1,87654195744102;"Mata_Atlantica";"R"
"266";"Tachyphonus_cristatus";0,0588235294117647;0,205446906035141;1;1;"Amazonia";"R"
"267";"Tachyphonus_phoenicius";0,0952380952380952;0,200536191749427;0,735165849619383;1,87654195744102;"Cerrado";"R"
"268";"Tachyphonus_rufus";0,0588235294117647;0,0982142857142857;1;1;"Amazonia";"R"
"269";"Tachyphonus_rufus";0,0833333333333333;0,32051282051282;1;1;"Caatinga";"R"
"270";"Tachyphonus_rufus";0,176470588235294;0,305366517082257;0,675905168374163;2,18356889428501;"Mata_Atlantica";"R"
"271";"Tangara_cayana";0,0833333333333333;0,16025641025641;1;1;"Caatinga";"R"
"272";"Tangara_cayana";0,0476190476190476;0,121256038647343;1;1;"Cerrado";"R"
"273";"Tangara_cayana";0,117647058823529;0,202282349073116;0,814195298191687;1,64416032045122;"Mata_Atlantica";"R"
"274";"Tangara_cyanoptera";0,0588235294117647;0,0714285714285714;1;1;"Mata_Atlantica";"R"
"275";"Tangara_nigroviridis";0,0714285714285714;0,428571428571429;1;1;"Andinean_Forest";"R"
