"";"x";"y";"Temp";"Prec"
"4339";-64,716667;-9,316667;261;1933
"4340";-45,5308804;-16,5630651;229;1103
"4341";-64,716667;-9,316667;261;1933
"4342";-45,5308804;-16,5630651;229;1103
"4343";-64,716667;-9,316667;261;1933
"4344";-45,5308804;-16,5630651;229;1103
"4345";-64,716667;-9,316667;261;1933
"4346";-45,5308804;-16,5630651;229;1103
"4347";-64,716667;-9,316667;261;1933
"4348";-45,5308804;-16,5630651;229;1103
"4349";-64,716667;-9,316667;261;1933
"4350";-45,5308804;-16,5630651;229;1103
"4351";-64,716667;-9,316667;261;1933
"4352";-45,5308804;-16,5630651;229;1103
"4353";-64,716667;-9,316667;261;1933
"4354";-45,5308804;-16,5630651;229;1103
"4355";-64,716667;-9,316667;261;1933
"4356";-45,5308804;-16,5630651;229;1103
"4357";-64,716667;-9,316667;261;1933
"4358";-45,5308804;-16,5630651;229;1103
"4359";-64,716667;-9,316667;261;1933
"4360";-45,5308804;-16,5630651;229;1103
"4361";-64,716667;-9,316667;261;1933
"4362";-45,5308804;-16,5630651;229;1103
"4363";-64,716667;-9,316667;261;1933
"4364";-45,5308804;-16,5630651;229;1103
"4365";-64,716667;-9,316667;261;1933
"4366";-45,5308804;-16,5630651;229;1103
"4367";-64,716667;-9,316667;261;1933
"4368";-45,5308804;-16,5630651;229;1103
"4369";-64,716667;-9,316667;261;1933
"4370";-45,5308804;-16,5630651;229;1103
"4371";-64,716667;-9,316667;261;1933
"4372";-45,5308804;-16,5630651;229;1103
"4373";-64,716667;-9,316667;261;1933
"4374";-45,5308804;-16,5630651;229;1103
"4375";-64,716667;-9,316667;261;1933
"4376";-45,5308804;-16,5630651;229;1103
"4377";-64,716667;-9,316667;261;1933
"4378";-45,5308804;-16,5630651;229;1103
"4379";-64,716667;-9,316667;261;1933
"4380";-45,5308804;-16,5630651;229;1103
"4381";-64,716667;-9,316667;261;1933
"4382";-45,5308804;-16,5630651;229;1103
"4383";-64,716667;-9,316667;261;1933
"4384";-45,5308804;-16,5630651;229;1103
"4385";-64,716667;-9,316667;261;1933
"4386";-45,5308804;-16,5630651;229;1103
"4387";-64,716667;-9,316667;261;1933
"4388";-45,5308804;-16,5630651;229;1103
"4389";-64,716667;-9,316667;261;1933
"4390";-45,5308804;-16,5630651;229;1103
"4391";-64,716667;-9,316667;261;1933
"4392";-45,5308804;-16,5630651;229;1103
"4393";-64,716667;-9,316667;261;1933
"4394";-45,5308804;-16,5630651;229;1103
"4395";-64,716667;-9,316667;261;1933
"4396";-45,5308804;-16,5630651;229;1103
"4397";-64,716667;-9,316667;261;1933
"4398";-45,5308804;-16,5630651;229;1103
"4399";-64,716667;-9,316667;261;1933
"4400";-45,5308804;-16,5630651;229;1103
"4401";-64,716667;-9,316667;261;1933
"4402";-45,5308804;-16,5630651;229;1103
"4403";-64,716667;-9,316667;261;1933
"4404";-45,5308804;-16,5630651;229;1103
"4405";-64,716667;-9,316667;261;1933
"4406";-45,5308804;-16,5630651;229;1103
"4407";-64,716667;-9,316667;261;1933
"4408";-45,5308804;-16,5630651;229;1103
"4409";-64,716667;-9,316667;261;1933
"4410";-45,5308804;-16,5630651;229;1103
"4411";-64,716667;-9,316667;261;1933
"4412";-45,5308804;-16,5630651;229;1103
"4413";-64,716667;-9,316667;261;1933
"4414";-45,5308804;-16,5630651;229;1103
"4415";-64,716667;-9,316667;261;1933
"4416";-45,5308804;-16,5630651;229;1103
"4417";-64,716667;-9,316667;261;1933
"4418";-45,5308804;-16,5630651;229;1103
"4419";-64,716667;-9,316667;261;1933
"4420";-45,5308804;-16,5630651;229;1103
"4421";-64,716667;-9,316667;261;1933
