"";"species";"normalised.degree";"PDI";"species.specificity.index";"effective.partners";"biomes.x";"Host_Status";"Lineage_Name";"biomes.y";"n_interactions";"n_local_partners";"n_local_species";"ND_Host_Parasite"
"1";"Adelomyia_melanogenys";0,142857142857143;0,0610486211901306;0,785092470514561;1,71865647652052;"Andinean_Forest";"R";"TROAED15";"Andinean_Forest";3;48;12;0,0625
"2";"Adelomyia_melanogenys";0,142857142857143;0,0610486211901306;0,785092470514561;1,71865647652052;"Andinean_Forest";"R";"TROAED20";"Andinean_Forest";1;53;45;0,0188679245283019
"3";"Amblycercus_holosericeus";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R";"TROAED20";"Andinean_Forest";1;53;45;0,0188679245283019
"4";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"DENPET03";"Caatinga";1;20;11;0,05
"5";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"DENPET03";"Caatinga";1;36;19;0,0277777777777778
"6";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"DENPET03";"Caatinga";1;23;15;0,0434782608695652
"7";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"DENPET03";"Cerrado";1;20;11;0,05
"8";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"DENPET03";"Cerrado";1;36;19;0,0277777777777778
"9";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"DENPET03";"Cerrado";1;23;15;0,0434782608695652
"10";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"NEOFAS01";"Cerrado";1;26;4;0,0384615384615385
"11";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"NEOFAS03";"Cerrado";1;33;7;0,0303030303030303
"12";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PADOM09";"Caatinga";1;17;14;0,0588235294117647
"13";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PADOM09";"Caatinga";1;50;19;0,02
"14";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PADOM09";"Caatinga";1;11;5;0,0909090909090909
"15";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PADOM09";"Caatinga";1;28;18;0,0357142857142857
"16";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PADOM09";"Cerrado";1;17;14;0,0588235294117647
"17";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PADOM09";"Cerrado";1;50;19;0,02
"18";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PADOM09";"Cerrado";1;11;5;0,0909090909090909
"19";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PADOM09";"Cerrado";1;28;18;0,0357142857142857
"20";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PHPAT01";"Caatinga";3;14;9;0,214285714285714
"21";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R";"PHPAT01";"Cerrado";1;14;9;0,0714285714285714
"22";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"DENPET03";"Caatinga";1;20;11;0,05
"23";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"DENPET03";"Caatinga";1;36;19;0,0277777777777778
"24";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"DENPET03";"Caatinga";1;23;15;0,0434782608695652
"25";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"DENPET03";"Cerrado";1;20;11;0,05
"26";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"DENPET03";"Cerrado";1;36;19;0,0277777777777778
"27";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"DENPET03";"Cerrado";1;23;15;0,0434782608695652
"28";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"NEOFAS01";"Cerrado";1;26;4;0,0384615384615385
"29";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"NEOFAS03";"Cerrado";1;33;7;0,0303030303030303
"30";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"PADOM09";"Caatinga";1;17;14;0,0588235294117647
"31";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"PADOM09";"Caatinga";1;50;19;0,02
"32";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R";"PADOM09";"Caatinga";1;11;5;0,0909090909090909
