species;weighted.betweenness;weighted.closeness;biomes;Host_Status
Eriocnemis_vestita;0,160019106759016;0,00773841063183278;Andinean_Forest;R
Euphonia_violacea;0;0,00137586434109832;Cerrado;R
Formicivora_melanogaster;0;0,00486832339756356;Cerrado;R
Formicivora_melanogaster;0;0,00271110721788549;Mata_Atlantica;R
Furnarius_leucopus;0;0,0072392434010661;Andinean_Forest;R
Furnarius_leucopus;0;0,0198544957099461;Caatinga;R
Galbula_cyanicollis;0,0325344212136665;0,00695547573760038;Amazonia;R
Geotrygon_montana;0;0,00363105309240716;Amazonia;R
Glyphorynchus_spirurus;0;0,0073815454196926;Amazonia;R
Glyphorynchus_spirurus;0;NA;Mata_Atlantica;R
Gnorimopsar_chopi;0;0,00177465932784643;Cerrado;R
Gymnopithys_leucaspis;0,00591534931157573;0,00563930692651008;Amazonia;R
Gymnopithys_rufigula;0;0,0073911561863647;Amazonia;R
Gymnopithys_salvini;0,00305966343702193;0,00783960935925605;Amazonia;R
Haplospiza_unicolor;0;0,0121801617379223;Mata_Atlantica;R
Heliangelus_viola;0;0,0072392434010661;Andinean_Forest;R
Heliodoxa_rubinoides;0;0,0135170710572947;Andinean_Forest;R
Hellmayrea_gularis;0;0,0072392434010661;Andinean_Forest;R
Hemispingus_superciliaris;0;0,00622025009208143;Andinean_Forest;R
Hemithraupis_guira;0;0,00486832339756356;Cerrado;R
Hemitriccus_margaritaceiventer;0;0,0117460775777803;Mata_Atlantica;R
Herpsilochmus_pectoralis;0;0,00271110721788549;Mata_Atlantica;R
Herpsilochmus_sellowi;0,0305657923260351;0,00517359597650485;Mata_Atlantica;R
Hylexetastes_perrotii;0;0,00363105309240716;Amazonia;R
Hylophilus_amaurocephalus;0;0,00137586434109832;Cerrado;R
Hylophilus_amaurocephalus;0;0,00398021449293265;Mata_Atlantica;R
Hylophylax_naevius;0,000917899031106578;0,00549109763572009;Amazonia;R
Hylophylax_naevius;0,00859804155720086;NA;Andinean_Forest;R
Hypocnemis_cantator;0;0,00417561313225858;Amazonia;R
Hypocnemis_cantator;0;NA;Andinean_Forest;R
Hypocnemis_striata;0,158541560428353;0,00902374864832466;Amazonia;R
Hypocnemis_subflava;0;0,00581766934899536;Amazonia;R
Icterus_mesomelas;0;0,0072392434010661;Andinean_Forest;R
Iridosornis_analis;0;0,0234709647826179;Andinean_Forest;R
Lafresnaya_lafresnayi;0;0,0072392434010661;Andinean_Forest;R
Lathrotriccus_euleri;0;0,0138975256801839;Cerrado;PM
Lepidocolaptes_angustirostris;0;NA;Cerrado;R
Lepidocolaptes_lacrymiger;0;0,0072392434010661;Andinean_Forest;R
Lepidothrix_coronata;0,119275879653238;0,00979935528522055;Amazonia;R
Lepidothrix_coronata;0;NA;Andinean_Forest;R
Lepidothrix_nattereri;0;0,00872044920288661;Amazonia;R
Leptopogon_amaurocephalus;0,000650336006936917;0,0104744919428737;Mata_Atlantica;R
Leptopogon_superciliaris;0;NA;Andinean_Forest;R
Leptopogon_taczanowskii;0;0,0072392434010661;Andinean_Forest;R
Leptotila_verreauxi;0;0,00140669593291426;Mata_Atlantica;R
Machaeropterus_pyrocephalus;0;0,00417561313225858;Amazonia;R
Machaeropterus_pyrocephalus;0;NA;Cerrado;R
Malacoptila_rufa;0;0,00771260549640203;Amazonia;R
Megarynchus_pitangua;0;0,0121801617379223;Mata_Atlantica;R
Metallura_tyrianthina;0;0,0135170710572947;Andinean_Forest;M
Microbates_collaris;0;0,00363105309240716;Amazonia;R
Mimus_saturninus;0;0,0102789965575518;Cerrado;R
Mionectes_oleagineus;0;0,00494489688515197;Amazonia;R
Mionectes_striaticollis;0;0,0135170710572947;Andinean_Forest;R
Molothrus_bonariensis;0;0,0101738853362939;Caatinga;R
Myadestes_ralloides;0;0,0072392434010661;Andinean_Forest;R
