species;betweenness;weighted.betweenness;closeness;weighted.closeness;normalised.degree;biomes
Conopophaga_lineata;0;0;0,0110086875787519;0,0150429363116001;0,0588235294117647;Mata_Atlantica
Conopophaga_melanops;0;0;0;NA;0,0588235294117647;Mata_Atlantica
Coryphospingus_cucullatus;0,0159126777335912;0;0,0163547156096675;0,00701175432754557;0,0952380952380952;Cerrado
Coryphospingus_pileatus;0,145352112676056;0,154131847725163;0,0378979282465892;0,0309764200599393;0,25;Caatinga
Coryphospingus_pileatus;0,0107953784997054;0;0,0147192440487007;0,00413726716859224;0,0952380952380952;Cerrado
Cranioleuca_antisiensis;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Creurgops_verticalis;0;0;0,0100088183421517;0,0147527823122563;0,0714285714285714;Andinean_Forest
Cyanocorax_cyanopogon;0;0;0,017441474898866;0,00140669593291426;0,0588235294117647;Mata_Atlantica
Cyclarhis_gujanensis;0;0;0,0262758969176352;0,0119145778927919;0,0833333333333333;Caatinga
Cyclarhis_gujanensis;0,0280054992119436;0;0,0194973141455004;0,00895315019804832;0,117647058823529;Mata_Atlantica
Cyphorhinus_arada;0;0;0,0115472189092486;0,00759670739323041;0,0588235294117647;Amazonia
Cypsnagra_hirundinacea;0;0;0,01508268217336;0,0132168474799024;0,0952380952380952;Cerrado
Dacnis_cayana;0;0;0,0141740868617118;0,00410722426834958;0,0476190476190476;Cerrado
Dacnis_cayana;0;0;0,0129318920352809;0,0104914178270242;0,0588235294117647;Mata_Atlantica
Dendrocincla_fuliginosa;0;0;0,0110593082511114;0,00680910743173586;0,0588235294117647;Amazonia
Dendrocolaptes_certhia;0,118276541819206;0,085670576236614;0,0129025262929632;0,00518755275185629;0,117647058823529;Amazonia
Dendroplex_picus;0;0;0,017441474898866;0,00140669593291426;0,0588235294117647;Mata_Atlantica
Dichrozona_cincta;0;0;0,0140409844952835;0,00641760378916668;0,0588235294117647;Amazonia
Diglossa_albilatera;0;0;0,0104497354497355;0,00714376139539127;0,0714285714285714;Andinean_Forest
Diglossa_caerulescens;0;0;0,0104938271604938;0,0123224174850544;0,0714285714285714;Andinean_Forest
Diglossa_cyanea;0;0;0,0104497354497355;0,0354037051155941;0,0714285714285714;Andinean_Forest
Diglossopis_caerulescens;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Dryocopus_lineatus;0;0;0,0144769519655945;0,00137586434109832;0,0476190476190476;Cerrado
Dysithamnus_mentalis;0;0;0,000795808740632668;NA;0,0588235294117647;Mata_Atlantica
Dysithamnus_plumbeus;0;0;0,000795808740632668;NA;0,0588235294117647;Mata_Atlantica
Elaenia_albiceps;0,234595660749507;0,0735610222116074;0,0164021164021164;0,0147527823122563;0,142857142857143;Andinean_Forest
Elaenia_albiceps;0,0834126065017785;0,138088012139605;0,0181046488493932;0,0196870053766859;0,235294117647059;Mata_Atlantica
Elaenia_chilensis;0,00345070422535211;0;0,0310763011622031;0,0196523244762665;0,166666666666667;Caatinga
Elaenia_chilensis;0,0474244282966338;0,00693691740732712;0,0184362358246568;0,00373659813848686;0,176470588235294;Mata_Atlantica
Elaenia_chiriquensis;0,0219591626322396;0;0,0176267490459749;0,0127931339562088;0,142857142857143;Cerrado
Elaenia_cristata;0,00518780364934211;0,00584292833820244;0,015748985401902;0,0162431425519053;0,0952380952380952;Cerrado
Elaenia_cristata;0,0362220099364161;0,00953826143507479;0,0198952185158167;0,0160169525275458;0,235294117647059;Mata_Atlantica
Elaenia_flavogaster;0;0;0,017441474898866;0,00140669593291426;0,0588235294117647;Mata_Atlantica
