species;Host_Status;biomes;normalised.degree;weighted.betweenness;weighted.closeness
Diglossa_caerulescens;R;Andinean_Forest;0,0714285714285714;0;0,00731710434382509
Diglossa_cyanea;R;Andinean_Forest;0,0714285714285714;0;0,026369925140238
Dryocopus_lineatus;R;Cerrado;0,0476190476190476;0;0,00214680560796043
Dysithamnus_mentalis;R;Mata_Atlantica;0,0588235294117647;0;NA
Dysithamnus_plumbeus;R;Mata_Atlantica;0,0588235294117647;0;NA
Elaenia_albiceps;R;Andinean_Forest;0,142857142857143;0,0884445534838077;0,00881268164129846
Elaenia_albiceps;R;Mata_Atlantica;0,235294117647059;0,105452906714736;0,0155483613147194
Elaenia_chiriquensis;PM;Cerrado;0,142857142857143;0;0,0111410324616792
Elaenia_cristata;R;Cerrado;0,0952380952380952;0,00438374641713033;0,0136861900244823
Elaenia_cristata;R;Mata_Atlantica;0,235294117647059;0,0621338440739072;0,0152256255020952
Elaenia_flavogaster;R;Mata_Atlantica;0,0588235294117647;0;0,0034215413217074
Elaenia_mesoleuca;R;Mata_Atlantica;0,0588235294117647;0;0,00905434392254583
Elaenia_pallatangae;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Elaenia_parvirostris;PM;Amazonia;0,0588235294117647;0;0,00499248481035081
Empidonomus_varius;PM;Caatinga;0,166666666666667;0;0,0188772786210053
Epinecrophylla_erythrura;R;Amazonia;0,0588235294117647;0;0,00348569571453274
Epinecrophylla_haematonota;R;Amazonia;0,0588235294117647;0;0,00378698566310344
Eriocnemis_cupreoventris;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Eriocnemis_derbyi;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Eriocnemis_vestita;R;Andinean_Forest;0,142857142857143;0,164376840039254;0,00857796130702659
Euphonia_violacea;R;Cerrado;0,0476190476190476;0;0,00214680560796043
Formicivora_melanogaster;R;Cerrado;0,0476190476190476;0;0,00516969239013997
Formicivora_melanogaster;R;Mata_Atlantica;0,0588235294117647;0;0,00592444096943207
Furnarius_leucopus;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Furnarius_leucopus;R;Caatinga;0,0833333333333333;0;0,0187974386116478
Galbula_cyanicollis;R;Amazonia;0,117647058823529;0,038766552824323;0,00560968284684917
Geotrygon_montana;R;Amazonia;0,0588235294117647;0;0,00379206385525976
Glyphorynchus_spirurus;R;Amazonia;0,0588235294117647;0;0,00617203713788922
Glyphorynchus_spirurus;R;Mata_Atlantica;0,0588235294117647;0;NA
